Gear Box,Length,Width,modelYear,Height,Kerb Weight,No of Cylinder,km,transmission,Registration Year,Wheel Base,Engine Displacement,model,Mileage,State,Color,Rear Brake Type,bt,oem,Tyre Type,price
5 Speed,4430.0,1817.0,2010,1975.0,1970.0,4.0,120000,Manual,2010.0,2680.0,2179.0,Mahindra Scorpio,12.05,bangalore,Gray,Drum,SUV,Mahindra,Tubeless Radial,650000.0
5 Speed,3731.0,1579.0,2022,1474.0,750.0,3.0,10000,Automatic,2022.0,2422.0,999.0,Renault KWID,22.0,bangalore,Others,Drum,Hatchback,Renault,Tubeless Radial,550000.0
6 Speed,3994.0,1811.0,2018,1607.0,1211.4827735332276,4.0,53645,Manual,2018.0,2498.0,1497.0,Tata Nexon,21.5,bangalore,White,Drum,SUV,Tata,Tubeless Radial,825000.0
5 Speed,3810.0,1665.0,2006,1515.0,1095.0,4.0,100000,Manual,2006.0,2455.0,1341.0,Hyundai Getz,15.3,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless Radial,220000.00000000003
5 Speed,3695.0,1655.0,2014,1555.0,815.0,3.0,53982,Automatic,2014.0,2435.0,998.0,Maruti Celerio,26.68,bangalore,Others,Drum,Hatchback,Maruti,Tubeless Radial,428000.0
5 Speed,4386.0,1699.0,2014,1466.0,1206.0,4.0,110000,Manual,2014.0,2552.0,1498.0,Skoda Rapid,21.14,bangalore,Black,Drum,Sedan,Skoda,Tubeless Radial,695000.0
5 Speed,3998.0,1765.0,2019,1647.0,1211.4827735332276,3.0,37741,Manual,2019.0,2519.0,1496.0,Ford Ecosport,15.9,bangalore,White,Drum,SUV,Ford,Tubeless Radial,930000.0
5 Speed,3445.0,1515.0,2021,1475.0,762.0,3.0,17367,Manual,2021.0,2360.0,796.0,Maruti Alto 800,22.05,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless,455000.0
6 Speed,4270.0,1780.0,2017,1630.0,1320.0,4.0,94000,Manual,2017.0,2590.0,1582.0,Hyundai Creta,19.67,bangalore,Grey,Drum,SUV,Hyundai,Tubeless,1195000.0
6 Speed,4598.0,1894.0,2021,1706.0,1700.0,4.0,33700,Automatic,2021.0,2741.0,1956.0,Tata Harrier,14.6,bangalore,Grey,Disc,SUV,Tata,Tubeless Radial,2175000.0
5 Speed,3845.0,1735.0,2014,1530.0,1211.4827735332276,4.0,54601,Manual,2014.0,2450.0,1197.0,Maruti Swift,22.38,bangalore,White,Drum,Hatchback,Maruti,Tubeless Radial,442000.0
5 Speed,3840.0,1735.0,2018,1530.0,1211.4827735332276,4.0,110000,Manual,2018.0,2450.0,1248.0,Maruti Swift,28.4,bangalore,Others,Drum,Hatchback,Maruti,Tubeless,690000.0
5 Speed,3715.0,1635.0,2017,1565.0,850.0,3.0,64000,Manual,2017.0,2425.0,998.0,Maruti Celerio,23.1,bangalore,Red,Drum,Hatchback,Maruti,Tubeless Radial,500000.0
8 Speed,4824.0,1828.0,2016,1508.0,1720.0,4.0,40525,Automatic,2016.0,2920.0,1995.0,BMW 3 Series GT,21.76,bangalore,White,Disc,Sedan,BMW,Runflat,3395000.0000000005
5 Speed,4490.0,1730.0,2015,1485.0,1105.0,4.0,100000,Manual,2015.0,2650.0,1248.0,Maruti Ciaz,26.21,bangalore,White,Drum,Sedan,Maruti,Tubeless Radial,650000.0
5 Speed,3955.0,1694.0,2016,1544.0,1066.0,4.0,44154,Automatic,2016.0,2530.0,1199.0,Honda Jazz,19.0,bangalore,White,Drum,Hatchback,Honda,Tubeless Radial,537000.0
6 Speed,4498.0,1751.0,2016,1697.0,1360.0,4.0,70000,Manual,2016.0,2810.0,1461.0,Renault Lodgy,19.98,bangalore,White,Drum,MUV,Renault,Tubeless,750000.0
7 Speed,4670.0,1814.0,2018,1476.0,1376.0,4.0,79000,Automatic,2018.0,2688.0,1798.0,Skoda Octavia,15.1,bangalore,White,Disc,Sedan,Skoda,Tubeless Radial,1789999.9999999998
5 Speed,3746.0,1647.0,2017,1535.0,980.0,3.0,68039,Manual,2018.0,2400.0,1199.0,Tata Tiago,23.84,bangalore,Orange,Drum,Hatchback,Tata,Tubeless,468000.0
5 Speed,3775.0,1680.0,2014,1620.0,1015.0,4.0,60000,Manual,2014.0,2360.0,1197.0,Maruti Ritz,18.5,bangalore,Silver,Drum,Hatchback,Maruti,Tubeless Radial,420000.0
6 Speed,3995.0,1775.0,2021,1505.0,1260.0,3.0,10000,Manual,2021.0,2580.0,998.0,Hyundai i20,20.0,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless Radial,920000.0
5 Speed,4440.0,1695.0,2013,1485.0,1095.0,4.0,49873,Manual,2013.0,2550.0,1497.0,Honda City,16.8,bangalore,Yellow,Drum,Sedan,Honda,Tubeless Radial,533000.0
7 Speed,3970.0,1682.0,2013,1453.0,1380.0,4.0,90000,Automatic,2013.0,2456.0,1197.0,Volkswagen Polo,17.2,bangalore,Others,Drum,Hatchback,Volkswagen,Tubeless Radial,850000.0
5 Speed,4413.0,1699.0,2017,1466.0,1192.0,4.0,48960,Manual,2017.0,2552.0,1498.0,Skoda Rapid,21.13,bangalore,Silver,Drum,Sedan,Skoda,Tubeless Radial,751000.0
5 Speed,3765.0,1660.0,2014,1520.0,1025.0,3.0,70000,Manual,2014.0,2425.0,1120.0,Hyundai Grand i10,24.0,bangalore,Others,Drum,Hatchback,Hyundai,Tubeless,388000.0
5 Speed,3995.0,1710.0,2013,1505.0,1040.0,4.0,68000,Manual,2013.0,2525.0,1197.0,Hyundai i20,18.5,bangalore,Silver,Drum,Hatchback,Hyundai,Tubeless Radial,490000.00000000006
5 Speed,3675.0,1715.0,2016,1655.0,1135.0,3.0,23017,Manual,2016.0,2385.0,1198.0,Mahindra KUV 100,25.32,bangalore,Orange,Drum,SUV,Mahindra,Tubeless Radial,494000.00000000006
6 Speed,3995.0,1710.0,2013,1505.0,1120.0,4.0,83000,Manual,2014.0,2525.0,1396.0,Hyundai i20,21.27,bangalore,Brown,Disc,Hatchback,Hyundai,Tubeless Radial,525000.0
8 Speed,4708.0,2138.0,2016,1676.0,1865.0,4.0,92000,Automatic,2016.0,2864.0,1995.0,BMW X3,16.55,bangalore,White,Disc,SUV,BMW,Tubeless Radial,2890000.0
5 Speed,3636.0,1475.0,2018,1670.0,890.0,3.0,62139,Manual,2018.0,2400.0,998.0,Maruti Wagon R,20.51,bangalore,Red,Drum,Hatchback,Maruti,Tubeless,550000.0
5 Speed,3585.0,1595.0,2013,1550.0,860.0,4.0,74000,Manual,2013.0,2380.0,1086.0,Hyundai i10,19.2,bangalore,Grey,Drum,Hatchback,Hyundai,Tubeless Radial,365000.0
5 Speed,3679.0,1579.0,2016,1478.0,730.0,3.0,26500,Automatic,2016.0,2422.0,999.0,Renault KWID,24.04,bangalore,Red,Drum,Hatchback,Renault,Tubeless Radial,420000.0
